PREC_ID,PREC_NAME,COUNTY_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
NPT2,NEWPORT 2,16,427,1359,1049,2380,109,6,5,33,0,286,16
ISPK,INDIAN BEACH/SALTER PATH/PINE KNOLL,16,348,711,632,1506,5,0,2,8,1,166,3
STEL,STELLA,16,206,812,568,1340,47,3,5,15,1,173,2
CCCP,CAPE CARTERET/CEDAR POINT,16,405,1714,1097,2772,20,2,5,27,0,366,24
MASM,MARSHALLBERG/SMYRNA,16,119,267,219,558,4,0,0,1,0,38,4
MHD4,MOREHEAD 4,16,467,1375,848,2379,15,4,4,21,0,246,21
BFT1,BEAUFORT 1,16,500,395,563,1058,219,0,8,6,0,158,9
ABCH,ATLANTIC BEACH,16,250,713,477,1258,7,2,4,4,0,162,3
MCRK,MILL CREEK,16,49,297,168,462,4,2,0,3,0,43,0
NRIV,NORTH RIVER,16,323,168,151,298,279,1,1,5,0,57,1
MHD1,MOREHEAD 1,16,539,982,845,1887,199,1,9,17,0,236,17
WIHA,WIREGRASS/HARLOWE,16,318,817,593,1456,91,6,5,8,0,157,5
PELE,PELETIER,16,202,683,481,1182,4,3,2,15,0,153,7
ASCI,ATLANTIC/SEA LEVEL/CEDAR ISLAND,16,216,326,235,725,1,2,2,5,0,41,1
DASW,DAVIS/STACY/WILLISTON,16,121,348,146,575,1,1,1,1,0,34,2
LOCU,LOCUST HILL,17,1009,460,444,858,859,2,5,21,1,164,3
UNVERIFIED,UNVERIFIED,17,1302,448,441,1301,812,4,7,8,0,55,4
PELH,PELHAM,17,956,931,980,2100,543,4,9,23,0,180,8
STON,STONEY CREEK,17,733,786,658,1448,440,5,12,16,0,256,0
YANC,YANCEYVILLE,17,1104,356,657,1005,889,3,9,21,0,182,8
MILT,MILTON,17,1167,316,482,890,925,3,6,16,0,123,2
ANDE,ANDERSON,17,263,271,304,608,143,3,3,11,0,70,0
PH,PROSPECT HILL,17,716,465,586,1187,413,0,1,15,0,149,2
LEAS,LEASBURG,17,335,103,208,349,237,0,2,6,0,52,0
PROVI,PROVIDENCE,17,334,209,249,549,183,0,2,2,0,56,0
13,GREENMONT,18,625,380,631,880,433,3,8,85,0,202,25
28,ST STEPHENS #1,18,668,1296,1174,2189,248,5,14,233,0,361,88
25,NORTH NEWTON,18,567,707,869,1402,276,3,18,126,1,276,41
37,VIEWMONT #2,18,705,943,982,1886,329,6,12,110,0,265,22
22,MOUNT OLIVE,18,715,1509,1239,2686,223,6,13,96,0,333,106
31,SHERRILLS FORD,18,681,2498,1575,3926,175,4,4,58,0,575,12
36,VIEWMONT #1,18,465,1020,851,1957,113,0,5,48,0,182,31
27,OXFORD,18,683,1935,1314,3184,144,3,11,80,0,357,153
26,OAKLAND HEIGHTS,18,402,776,670,1545,79,2,6,32,0,172,12
UNVERIFIED,UNVERIFIED,18,5099,6324,4244,12939,1882,20,72,235,0,377,142
17,LONGVIEW NORTH,18,513,568,683,1151,241,4,11,98,0,213,46
33,SPRINGS,18,763,2063,1568,3404,179,5,10,165,0,404,227
38,FALLING CREEK,18,560,1324,1068,2474,114,0,7,87,1,231,38
21,MONOGRAM,18,238,995,603,1593,49,3,3,13,0,170,5
12,KENWORTH,18,848,248,503,550,801,2,9,72,0,133,32
40,WEST NEWTON,18,364,532,582,1070,189,1,6,43,0,137,32
30,SANDY RIDGE,18,951,1501,1440,2773,367,4,26,204,0,411,107
39,NORTHWEST,18,360,1254,755,2043,47,3,5,48,1,185,37
29,ST STEPHENS #2,18,672,2125,1605,3658,118,3,12,146,0,397,68
05,CATAWBA,18,631,1517,1040,2444,330,10,11,57,0,293,43
09,EAST MAIDEN,18,354,1353,787,2090,96,1,6,38,0,240,23
02,BANOAK,18,340,1174,677,1915,38,3,3,18,0,195,19
24,MOUNTAIN VIEW #2,18,664,1995,1326,3280,169,7,9,73,0,374,73
20,MAIDEN,18,602,1518,1146,2579,255,3,18,69,0,306,36
23,MOUNTAIN VIEW #1,18,737,1900,1509,3387,215,3,11,79,0,375,76
32,SOUTH NEWTON,18,733,1099,1150,2118,310,5,9,107,0,338,95
01,BALLS CREEK,18,400,1932,1085,2987,69,3,5,36,0,293,24
08,CONOVER EAST,18,459,1188,920,2149,104,2,9,57,0,178,68
07,CONOVER WEST,18,798,1099,1033,2033,406,1,17,136,0,266,71
03,BLACKBURN,18,420,1150,801,1905,125,4,3,47,0,231,56
35,SWEETWATER,18,688,1231,1089,2182,273,7,10,116,0,332,88
14,OAKWOOD,18,292,628,608,1343,42,0,4,17,0,111,11
34,STARTOWN,18,737,1992,1478,3435,199,3,23,89,0,357,101
19,LONGVIEW SOUTH,18,310,443,388,777,170,2,5,46,0,96,45
06,CLAREMONT,18,455,1132,754,1942,119,5,7,43,0,196,29
16,HIGHLAND,18,643,957,994,1824,316,2,8,95,0,312,37
15,RIDGEVIEW,18,511,35,168,74,538,1,5,26,0,63,7
04,BROOKFORD,18,283,266,301,520,177,0,5,31,0,90,27
11,COLLEGE PARK,18,271,365,428,824,85,2,8,31,0,106,8
10,EAST NEWTON,18,258,163,210,289,230,1,6,29,0,70,6
41,LAKE NORMAN,18,440,1801,1194,2825,51,6,10,30,0,503,10
78,WEST WILLIAMS,19,1991,1163,2147,4322,157,12,17,82,0,638,73
NWM117,NORTH WILLIAMS,19,2403,1244,2567,4509,414,12,36,142,0,962,139
30,HICKORY MOUNTAIN,19,567,531,663,1324,219,4,6,26,0,177,5
ESC114,EAST SILER CITY,19,1942,899,1164,1989,1097,7,33,246,0,613,20
MCH110,MANNS CHAPEL,19,3481,1408,3844,6574,347,16,50,143,1,1441,161
42,NEW HOPE,19,531,714,898,1545,100,5,10,43,0,410,30
75,EAST WILLIAMS,19,1310,1330,2016,3437,228,6,20,111,0,687,167
20,THREE RIVERS,19,570,643,745,1323,292,12,4,19,0,300,8
PIT113,PITTSBORO,19,3026,1420,2968,4942,1200,18,41,143,0,1010,60
3,ALBRIGHT,19,480,697,602,1365,138,7,2,25,0,237,5
45,OAKLAND,19,347,290,369,756,113,1,1,9,0,125,1
UNVERIFIED,UNVERIFIED,19,3647,1930,2294,6089,1098,18,55,105,0,451,55
18,GOLDSTON,19,841,697,766,1622,442,4,7,24,0,200,5
85,WEST SILER CITY,19,1180,694,805,1493,579,9,23,158,0,399,18
15,BYNUM,19,929,432,936,1696,242,4,9,33,0,291,22
9,BONLEE,19,464,488,487,1137,147,1,1,17,0,136,0
24,HARPERS CROSSROADS,19,160,336,263,677,13,0,0,7,0,62,0
21,HADLEY,19,468,417,688,1341,29,1,5,18,0,174,5
6,BENNETT,19,164,378,237,660,38,0,0,6,0,72,3
BELL,BELLVIEW,20,198,617,435,1167,5,3,3,3,0,63,6
PCHT,PEACHTREE,20,414,1108,719,2077,9,13,5,20,0,112,5
MURS,MURPHY SOUTH,20,415,1079,835,2123,17,14,5,29,0,122,19
UNVERIFIED,UNVERIFIED,20,1066,1597,947,3500,29,15,10,8,0,43,5
UNKA,UNAKA,20,83,284,194,526,1,2,1,3,0,27,1
HIWA,HIWASSEE DAM,20,331,1095,608,1917,11,10,0,13,0,81,2
HOTH,HOT HOUSE,20,245,796,465,1410,10,2,2,9,0,69,4
MARB,MARBLE,20,260,650,439,1248,7,12,1,12,0,67,2
HANG,HANGING DOG,20,81,428,232,713,2,2,0,1,0,23,0
MURN,MURPHY NORTH,20,432,852,750,1776,100,12,4,28,0,95,19
ANNW,ANDREWS NORTH WARD,20,327,703,534,1445,3,15,2,14,0,78,7
BRAS,BRASSTOWN,20,173,426,291,842,1,5,2,3,0,35,2
RGER,RANGER,20,303,836,566,1616,10,9,3,7,0,58,2
CSON,CULBERSON,20,175,454,290,866,9,5,2,1,0,33,3
GCRK,GRAPE CREEK,20,49,258,159,426,0,11,2,0,0,27,0
TOPT,TOPTON,20,68,239,97,385,1,2,0,1,0,15,0
ANSW,ANDREWS SOUTH WARD,20,346,693,504,1405,31,7,3,14,0,80,3
2,WEST EDENTON,21,1294,838,877,1798,978,2,8,23,1,189,10
UNVERIFIED,UNVERIFIED,21,996,443,500,1258,609,1,6,19,0,41,5
3,ROCKY HOCK,21,378,573,593,1364,54,3,4,9,1,109,0
1,EAST EDENTON,21,1006,318,528,814,887,1,3,13,0,130,4
6,YEOPIM,21,488,476,459,976,341,1,1,9,0,95,0
5,WARDVILLE,21,266,347,283,710,126,1,2,9,0,48,0
4,CENTER HILL,21,419,203,206,442,323,2,2,8,0,50,1
HAY1,HAYESVILLE ONE,22,214,532,429,1084,12,2,1,8,0,66,2
SHCR,SHOOTING CREEK,22,190,638,443,1188,4,0,0,3,0,73,3
TUSQ,TUSQUITTEE,22,111,306,270,653,0,1,1,1,0,31,0
UNVERIFIED,UNVERIFIED,22,447,693,579,1669,4,2,1,4,0,36,3
HAYC,HAYESVILLE CENTRAL,22,94,206,167,429,3,0,0,5,0,29,1
BRAS,BRASSTOWN,22,162,362,291,755,2,1,1,3,0,52,1
HIAW,HIAWASSEE,22,264,772,515,1426,9,3,2,7,0,103,1
WARN,WARNE,22,122,364,297,713,2,1,1,10,0,54,2
HAY2,HAYESVILLE TWO,22,256,674,505,1337,6,3,2,8,0,79,0
SWEE,SWEETWATER,22,147,324,279,701,3,3,2,3,0,38,0
WACO,WACO,23,961,1297,964,2222,582,3,10,55,0,337,13
BETHWR,BETHWARE,23,413,837,571,1370,202,1,3,18,0,211,16
RIPPY,RIPPY,23,1213,1432,1051,2567,750,5,25,32,0,309,8
S C,SHELBY CENTRAL,23,3123,1800,2006,3917,2172,12,40,98,1,657,32
UNVERIFIED,UNVERIFIED,23,4945,2714,2136,6945,2442,20,44,69,0,254,21
BR,BROAD RIVER,23,1187,1880,1509,3673,428,7,17,44,0,401,6
SHANGI,SHANGHAI,23,842,989,771,1967,406,5,8,13,0,195,8
S 4A,SHELBY #4,23,2063,1243,1213,2536,1538,9,24,48,0,351,13
CASAR,CASAR,23,224,723,392,1220,1,3,1,5,0,104,5
KINGST,KINGSTOWN,23,558,145,188,325,504,0,2,3,0,56,1
POLKVL,POLKVILLE,23,588,970,787,2016,93,2,6,24,0,202,2
FALSTN,FALLSTON,23,370,683,496,1350,59,2,4,6,0,124,4
S S,SHELBY SOUTH,23,2544,1708,1594,3293,1901,8,21,74,0,527,22
S 5,SHELBY #5,23,1122,785,681,1483,822,3,5,15,1,247,12
LATT,LATTIMORE,23,683,1228,817,2207,200,3,9,46,0,256,7
KM S,KINGS MOUNTAIN SOUTH,23,1418,1695,1285,2870,937,5,13,63,1,465,44
OAKGRV,OAK GROVE,23,654,1754,1057,2750,224,6,7,38,0,434,6
KM N,KINGS MOUNTAIN NORTH,23,1493,1918,1399,3172,1013,9,12,40,0,546,18
MULLS,MULLS,23,443,904,566,1666,49,1,3,18,0,175,1
GROVER,GROVER,23,754,1537,908,2356,428,4,10,38,0,332,31
LAWNDL,LAWNDALE,23,738,456,502,1042,488,1,10,7,0,148,0
MRB-YO,MOORESBORO-YOUNG,23,376,687,468,1257,118,1,3,11,0,140,1
P14,RANSOM,24,1494,1055,839,1776,1122,59,10,52,0,367,2
P15,TATUM,24,1092,479,552,1214,739,20,2,15,0,133,0
P22A,SOUTH WHITEVILLE,24,777,569,637,1350,426,22,5,25,0,154,1
UNVERIFIED,UNVERIFIED,24,3764,914,1009,3261,2128,121,14,44,0,114,5
P26B,SOUTH WILLIAMS,24,1580,843,815,1794,1154,12,4,19,0,251,4
P20A,WHITEVILLE 2,24,529,137,222,289,512,9,1,16,0,57,4
P16B,WACCAMAW,24,689,436,502,1009,181,287,5,10,0,127,8
P09,FAIR BLUFF,24,601,212,244,538,448,4,2,5,0,60,0
P25B,WILLIAMS 2,24,320,500,470,1131,44,8,1,10,0,95,1
P08,CHERRY GROVE,24,127,153,137,388,7,6,3,3,0,10,0
P18,WESTERN PRONG,24,243,125,145,321,150,4,0,7,0,31,0
P24,WILLIAMS 1,24,560,651,722,1604,177,3,3,11,0,134,1
P03,BUG HILL 1,24,194,188,175,387,88,5,0,15,0,59,3
P07,CHADBOURN,24,1586,592,873,1474,1325,51,7,38,0,156,0
P17,WELCHES CREEK,24,687,176,262,386,565,68,8,22,0,76,0
P19,WHITEVILLE 1,24,1135,592,584,1299,797,16,8,31,0,151,9
P01A,BOGUE,24,783,389,426,982,447,34,5,26,0,104,0
P06,CERRO GORDO,24,307,243,296,632,160,5,2,4,0,41,2
P13,WEST LEES,24,193,203,237,520,36,4,0,12,0,61,0
P02B,BOLTON,24,638,151,215,239,431,254,5,9,0,61,5
P23,WEST WHITEVILLE,24,901,556,588,1157,723,16,5,25,0,113,6
P21,NORTH WHITEVILLE,24,401,345,327,693,276,9,9,13,0,69,4
P10,EAST LEES,24,212,337,288,746,15,5,0,10,0,61,0
P05,BUG HILL  3,24,143,128,131,322,45,2,0,2,0,31,0
P11,NORTH LEES,24,280,271,275,639,97,7,1,15,0,66,1
P04,BUG HILL 2,24,156,102,114,219,114,2,1,5,0,31,0
P12,SOUTH LEES,24,87,75,48,196,1,3,0,0,0,10,0
N3N5,GLENBURNIE-GROVER C,25,1525,925,1138,1905,1150,15,18,62,0,309,129
17,CROATAN,25,389,1157,841,1903,180,5,13,66,0,180,40
05,RIVER BEND,25,514,932,950,2013,158,0,3,29,0,179,14
UNVERIFIED,UNVERIFIED,25,5738,4997,4349,10640,3426,38,99,280,0,498,103
23,GRANTHAM 2B,25,1166,2314,1885,4133,585,7,19,97,1,463,60
02,HAVELOCK,25,2253,3658,3806,5893,1850,37,94,517,3,1128,195
03,TRENT WOODS,25,698,1605,1048,3051,43,3,7,28,0,199,20
19,HARLOWE,25,1079,993,814,1551,1024,12,16,55,0,213,15
16,GRANTHAM 1A,25,912,1730,1340,3064,450,7,17,74,0,335,35
20,FAIRFIELD HARBOUR,25,589,1291,1198,2683,123,4,6,39,0,206,17
11,BRIDGETON,25,544,1259,920,2293,207,11,8,34,1,161,8
N4,H.J. MACDONALD,25,1917,1221,1532,2443,1420,11,24,136,1,471,164
N2,FORT TOTTEN,25,1221,275,614,658,1211,4,9,32,0,174,22
N6,WEST NEW BERN,25,1455,1499,1565,3186,798,12,23,73,0,298,129
21,BRICES CREEK,25,562,1412,979,2463,238,4,12,35,0,185,16
TE13,TRUITT-ERNUL,25,262,581,340,999,74,2,2,8,0,96,2
N1,GEORGE STREET,25,911,523,690,1239,667,3,3,18,0,172,22
07,JASPER,25,912,851,531,1417,706,3,8,23,1,130,6
CLR4,CLARKS-RHEMS,25,831,695,668,1280,657,2,16,42,0,156,41
VE14,VAN-EP,25,1536,1455,1039,2514,1129,13,16,51,0,305,2
CFB8,COVE-FORT BARNWELL,25,494,566,320,941,341,2,1,14,0,81,0
DFB9,DOVER-FORT BARNWELL,25,380,264,187,441,331,1,3,2,0,52,1
G10A,STONEY POINT 2-G10,26,1660,1578,1836,2400,1376,58,40,270,0,736,194
UNVERIFIED,UNVERIFIED,26,23525,10849,13748,21637,19446,376,716,2457,0,2913,577
G9B-1,HOPE MILLS 2A-G9,26,1601,1292,1615,2190,1367,92,38,192,1,589,39
SH77,SHERWOOD,26,932,927,860,1581,706,46,23,74,1,268,20
G8A,CUMBERLAND 4-G8,26,1633,776,1324,1340,1509,35,48,216,2,523,60
CC18,CROSS CREEK 18,26,520,520,457,1009,257,18,9,49,0,125,30
G10C,STONEY POINT 1-G10,26,1152,1367,1420,2106,832,68,41,201,0,592,99
CC12,CROSS CREEK 12,26,387,710,514,1313,59,7,8,51,0,154,19
G3A-2,PEARCES MILL 2B-G3,26,1128,605,873,1047,988,56,24,119,1,349,22
CC24,CROSS CREEK 24,26,671,311,510,523,606,8,21,80,0,231,23
CC33,CROSS CREEK 33,26,1089,466,726,740,1004,9,26,116,1,333,52
G5A-2,AUMAN-2-G5,26,1003,549,659,752,1006,15,31,132,0,240,35
G8B,CUMBERLAND 1A-G8,26,877,708,1053,1104,777,21,32,182,1,433,88
G2B,CROSS CREEK 22-G2,26,2022,895,1488,1577,1885,28,75,200,1,581,58
G2C-2,CROSS CREEK 23-2-G2,26,1052,794,890,1231,935,12,37,127,0,325,69
CC34,CROSS CREEK 34,26,671,689,704,1126,404,17,30,130,0,196,161
G2E-1,WESTAREA-1-G2,26,1246,258,601,426,1318,11,23,63,0,245,19
SL78-3,SPRING LAKE 3,26,2571,762,1672,1192,2508,27,71,301,2,813,91
CC26,CROSS CREEK 26,26,1790,493,1108,810,1703,19,49,198,1,531,80
G11B,MANCHESTER-G11,26,1108,1315,2085,1999,832,22,68,365,4,1093,125
G6B,BEAVER DAM-G6,26,350,471,265,831,144,11,3,10,0,87,0
G5A-1,AUMAN-1-G5,26,1388,356,777,619,1386,17,32,129,0,304,34
LI65,LINDEN,26,945,1311,1065,2118,650,26,22,105,2,362,36
G8C,CUMBERLAND 3-G8,26,1000,510,841,864,937,39,28,138,0,325,20
G6C,CEDAR CREEK-G6,26,686,629,548,1102,491,47,17,39,0,162,5
AL51,ALDERMAN,26,1445,2010,1597,3220,1027,115,20,146,1,496,27
MR02,MORGANTON RD 2,26,1346,527,1101,833,1262,21,38,233,1,496,90
CC13,CROSS CREEK 13,26,1113,86,660,136,1288,10,28,52,2,332,11
CC27,CROSS CREEK 27,26,2084,571,1368,882,2004,21,67,253,0,733,63
CC06,CROSS CREEK 06,26,415,308,457,700,261,15,10,38,1,148,7
G4C,PEARCES MILL 4-G4,26,959,326,702,549,930,35,29,94,0,321,29
CC07,CROSS CREEK 07,26,320,329,395,788,89,4,6,38,0,106,13
LR63,LAKE RIM,26,2372,665,1510,943,2379,28,75,312,4,753,53
CC519,CROSS CREEK 519,26,1836,201,716,273,2005,19,28,77,1,338,12
G2E-2,WESTAREA-2-G2,26,1628,251,803,437,1697,20,33,117,3,360,15
CC14,CROSS CREEK 14,26,888,881,968,1572,518,31,30,129,0,376,81
CC17,CROSS CREEK 17,26,1569,194,599,337,1662,6,15,80,0,251,11
MB62,MONTIBELLO,26,1629,370,983,555,1660,18,52,171,1,487,38
G2C-1,CROSS CREEK 23-1-G2,26,1278,625,963,1163,1143,13,33,126,1,352,35
G9A,HOPE MILLS 3-G9,26,1116,766,883,1303,896,39,24,130,1,333,39
AH49,ARRAN HILLS,26,1650,525,1061,908,1561,16,29,185,1,498,38
G5B-1,CROSS CREEK 28-1-G5,26,2089,253,843,412,2124,12,43,144,0,415,35
G2A,CROSS CREEK 09-G2,26,2262,869,1256,1403,2210,29,63,182,1,445,54
G10B,HOPE MILLS 4-G10,26,1132,737,984,1335,897,44,28,145,0,383,21
CU02,CUMBERLAND 2,26,857,429,632,789,710,28,33,111,0,235,12
CL57-2,CLIFFDALE WEST-2-CL57,26,1715,376,973,640,1777,14,40,164,3,402,24
CC16,CROSS CREEK 16,26,1472,51,349,39,1604,5,20,29,0,173,2
EO61-1,EASTOVER 1,26,984,1021,876,1875,644,39,18,94,1,199,11
G1B,JUDSON-VANDER-G1,26,1320,1441,1123,2329,981,72,32,126,2,310,32
G7A,BLACK RIVER-G7,26,342,595,296,901,197,10,4,37,1,79,4
EO61-2,EASTOVER 2,26,721,731,517,1166,565,23,12,41,0,151,11
G9B-2,HOPE MILLS 2B-G9,26,1543,1394,1536,2157,1357,108,42,216,2,527,64
G8D,HOPE MILLS 1A-G8,26,974,831,1088,1523,744,32,32,167,0,370,25
G1A,CROSS CREEK 02-G1,26,1163,382,624,597,1124,83,17,62,0,267,19
CC01,CROSS CREEK 01,26,1528,178,594,321,1605,29,27,56,0,244,18
G7B,WADE-G7,26,332,482,342,864,155,10,6,19,1,97,4
G5C,BRENTWOOD-G5,26,1143,367,720,643,1090,20,25,124,0,309,19
CC04,CROSS CREEK 04,26,430,295,420,725,206,9,20,46,0,127,12
CC15,CROSS CREEK 15,26,941,861,786,1695,490,29,22,75,1,224,52
CC29,CROSS CREEK 29,26,1078,392,736,670,1016,10,24,133,0,324,29
G2D,LONGHILL-G2,26,1600,1165,1345,1883,1409,17,37,193,1,452,118
CL57-1,CLIFFDALE WEST-1-CL57,26,1587,536,1011,776,1586,23,48,222,1,423,55
CC21,CROSS CREEK 21,26,1807,524,1012,955,1718,23,53,124,1,436,33
CC31,CROSS CREEK 31,26,822,439,661,856,651,21,26,96,0,259,13
CC03,CROSS CREEK 03,26,663,292,594,488,647,4,22,83,0,287,18
G3C,PEARCES MILL 3-G3,26,497,420,408,722,388,28,13,24,0,138,12
CC32,CROSS CREEK 32,26,734,153,396,224,747,7,14,78,0,198,15
CC25,CROSS CREEK 25,26,774,442,665,742,678,7,25,106,0,275,48
G4A,CROSS CREEK 30-G4,26,640,334,536,681,499,17,17,83,0,198,15
CC08,CROSS CREEK 08,26,410,478,382,945,168,4,4,21,0,110,18
G3A-1,PEARCES MILL 2A-G3,26,1911,610,1253,1039,1903,59,36,198,1,511,27
G6A,STEDMAN-G6,26,1163,1964,1320,3154,689,86,21,101,2,377,17
G4B,CROSS CREEK 20-G4,26,704,477,576,916,469,35,18,74,0,228,17
G5B-2,CROSS CREEK 28-2-G5,26,1395,310,696,479,1387,7,35,123,1,316,53
CC10,CROSS CREEK 10,26,533,248,318,455,461,6,16,44,0,102,15
G3B,CROSS CREEK 11-G3,26,544,273,425,500,469,23,23,45,0,174,8
PB,POPLAR BRANCH,27,735,1346,1665,3133,141,10,16,49,0,390,7
MY,MOYOCK,27,834,2822,2488,5137,433,15,26,112,2,397,22
UNVERIFIED,UNVERIFIED,27,805,1153,1217,2866,182,11,20,31,0,57,8
IR,INDIAN RIDGE,27,235,493,501,1012,116,4,6,20,0,70,1
KI,KNOTTS ISLAND,27,137,473,450,993,0,1,2,6,0,57,1
WH,WHALEHEAD,27,169,319,431,820,9,0,2,11,0,74,3
PP,POWELLS POINT,27,381,624,716,1434,76,3,6,14,0,185,3
CH,COURTHOUSE,27,510,1907,1691,3684,122,9,10,57,0,215,11
CJ,COINJOCK,27,165,232,328,547,98,0,4,6,0,64,6
CB,CAROVA BEACH,27,42,73,125,222,0,1,1,2,0,14,0
CI,CHURCHS ISLAND,27,42,118,121,261,0,0,0,1,0,19,0
GW,GIBBS WOODS,27,47,132,113,280,2,0,1,1,0,8,0
HAT,HATTERAS,28,154,188,172,470,3,0,0,1,0,40,0
COL,COLINGTON,28,832,1230,1456,3129,14,3,9,41,0,308,14
UNVERIFIED,UNVERIFIED,28,1758,1673,1895,5009,116,11,14,56,0,97,23
WAN,WANCHESE,28,284,449,353,986,5,0,2,7,0,86,0
MATO,MANTEO,28,1560,1447,1704,3927,348,6,13,74,0,335,8
KDH,KILL DEVIL HILLS,28,1332,1895,2593,5063,60,12,12,104,0,540,29
SOSH,SOUTHERN SHORES,28,805,1175,1407,3130,7,3,6,26,0,202,13
KTHK,KITTY HAWK,28,690,1124,1254,2746,21,1,10,34,1,248,7
NGHD,NAGS HEAD,28,678,856,1108,2402,19,2,4,25,0,182,8
BUX,BUXTON,28,312,409,411,1013,4,2,3,19,0,89,2
FRCO,FRISCO,28,201,306,298,740,0,3,2,5,0,55,0
DUCK,DUCK,28,158,241,268,607,4,0,3,7,0,42,4
AVON,AVON,28,175,293,305,705,4,0,1,9,0,51,3
CHCA,CHICAMACOMICO,28,195,202,295,610,4,2,0,3,0,71,2
MH,MANNS HARBOR,28,166,162,156,436,4,0,0,4,0,37,3
EL,EAST LAKE,28,19,23,32,66,0,0,0,1,0,7,0
STPT,STUMPY POINT,28,43,44,47,126,1,0,0,0,0,7,0
16,GUMTREE # 16,29,418,1732,887,2568,76,8,2,29,0,340,14
70,THOMASVILLE 7 #70,29,302,1336,643,1941,78,7,3,32,1,205,14
40,MUNICIPAL #40,29,675,633,592,1377,277,3,11,42,0,176,14
28,LEXINGTON 4 #28,29,574,1279,909,2119,227,5,6,53,0,320,32
18,HEALING SPRINGS #18,29,242,1097,609,1742,10,6,2,5,0,176,7
UNVERIFIED,UNVERIFIED,29,4902,6185,3278,11891,1770,39,56,141,0,414,54
14,EMMONS # 14,29,172,1159,565,1717,3,3,3,11,0,156,3
08,CENTRAL #08,29,217,448,371,882,53,4,2,14,0,78,3
88,ABBOTTS CREEK 2 #88,29,463,1307,737,1916,154,7,3,50,1,349,27
86A,ABBOTTS CREEK 1 #86A,29,952,1412,1181,2284,502,10,18,82,0,604,45
30,DUNBAR #30,29,1136,248,520,503,1095,6,9,51,0,228,12
80A,WALLBURG #80A,29,582,3082,1434,4382,69,9,5,37,0,571,25
04,ARCADIA #04,29,960,2925,1764,4737,298,10,7,57,0,516,24
78,TYRO #78,29,529,1684,1104,2856,117,8,7,20,2,302,5
20,HOLLY GROVE #20,29,390,1451,833,2401,29,4,2,13,0,221,4
72,THOMASVILLE 8 #72,29,418,1646,875,2423,92,9,8,55,0,340,12
48,REEDS/YADKIN COLLEGE #48,29,370,1360,774,2237,47,5,4,19,0,182,10
32,ROBBINS #32,29,499,347,461,725,327,3,3,64,0,176,9
38,EASTSIDE #38,29,771,192,368,379,728,6,10,54,0,145,9
66,THOMASVILLE 4 #66,29,554,655,518,1036,352,2,16,53,0,258,10
52,SILVER HILL #52,29,659,2285,1386,3859,45,6,5,43,0,360,12
74,THOMASVILLE 9 #74,29,544,2142,1093,3272,70,12,2,32,0,383,8
26,LEXINGTON 3 #26,29,263,576,371,909,111,5,4,22,0,140,19
84,WEST ARCADIA #84,29,954,2822,1775,4517,256,8,9,59,0,679,23
56,SOUTH DAVIDSON #56,29,134,764,382,1125,4,4,1,10,0,135,1
10,COTTON GROVE  #10,29,540,1194,832,2105,137,6,4,42,0,252,20
82,WELCOME #82,29,392,1516,891,2407,55,7,7,35,0,265,23
64,THOMASVILLE 3 #64,29,888,272,382,399,868,4,9,54,0,202,6
76,THOMASVILLE 10 #76,29,444,1731,899,2587,79,8,6,31,0,354,9
68,THOMASVILLE 5 #68,29,741,772,618,1224,499,6,14,54,0,317,17
06,BOONE #06,29,481,1519,991,2552,80,2,2,38,0,312,5
12,DENTON #12,29,91,470,295,760,5,3,2,5,0,80,1
46,NORTH DAVIDSON # 46,29,387,1403,783,2203,101,2,1,22,1,239,4
62,THOMASVILLE 2 #62,29,853,334,455,544,736,6,14,60,0,274,8
34,WESLEY HEIGHTS #34,29,675,536,633,1076,416,3,2,91,0,196,60
42,LIBERTY #42,29,246,1485,724,2149,17,4,3,20,0,260,2
54,SILVER VALLEY #54,29,157,1055,560,1583,4,2,3,10,0,168,2
24,LEXINGTON 2 #24,29,260,680,465,1116,60,3,2,33,0,159,32
44,MIDWAY #44,29,774,2091,1000,3079,409,3,4,29,0,332,9
50,REEDY CREEK #50,29,452,2030,968,3077,31,11,8,21,0,294,8
60,THOMASVILLE 1 #60,29,1149,1823,1362,2852,610,14,25,133,0,667,33
58,SOUTHMONT #58,29,550,1725,1045,2849,119,4,4,17,0,324,3
22,LEXINGTON 1 #22,29,162,471,319,791,34,0,2,10,0,102,13
36,GRIMES #36,29,458,306,471,774,266,1,6,41,0,134,13
03,CLARKSVILLE,30,306,1456,863,2268,88,1,7,26,0,234,1
13,HILLSDALE,30,547,1704,1091,2678,104,1,10,30,0,482,37
UNVERIFIED,UNVERIFIED,30,980,2159,1070,3739,302,5,12,48,0,89,14
14,NORTH MOCKS-COUNTY,30,343,1121,795,1881,124,3,5,18,0,221,7
02,SOUTH CALAHALN,30,150,601,338,921,39,2,1,5,0,121,0
11,WEST SHADY GROVE,30,201,991,525,1486,29,2,2,18,0,179,1
07,JERUSALEM,30,317,895,526,1423,137,0,2,13,0,158,5
01,NORTH CALAHALN,30,197,606,317,907,107,1,1,7,0,96,1
04,COOLEEMEE,30,370,894,622,1420,180,6,4,41,0,231,4
09,SOUTH MOCKSVILLE,30,419,1070,800,1771,214,3,9,46,0,237,9
08,NORTH MOCKS-CITY,30,679,900,766,1535,433,5,9,68,1,285,9
