PREC_ID,PREC_NAME,DEM,REP,OTHER,W,B,I,M,O,P,U,A
S1S2,SHARPES #1 #2,607,1194,879,2321,90,5,7,28,0,225,4
B2,BETHLEHEM #2,522,1737,1108,2916,32,2,3,27,1,358,28
E,ELLENDALE,507,1079,726,2058,81,1,0,11,0,156,5
T2T3,TAYLORSVILLE #2 #3,695,1116,899,2208,243,4,7,37,0,201,10
LRSL,LITTLE RIVER AND SUGAR LOAF,367,914,595,1705,47,2,3,13,0,104,2
W,WITTENBURG,252,873,529,1477,5,4,4,9,0,144,11
06A,PRATHERS CREEK,415,623,415,1275,4,0,1,13,0,159,1
04,GLADE CREEK,325,570,447,1198,4,2,4,14,0,118,2
01,CHERRY LANE,279,514,431,1076,8,2,3,11,0,124,0
03A,GAP CIVIL,1045,1220,1134,2966,54,4,6,31,0,336,2
WADES,WADESBORO,4216,821,1257,2061,3041,9,4,50,0,1103,26
MM,MORVEN/MCFARLAN,906,104,193,254,713,0,2,9,0,220,5
WS,WHITE STORE,141,77,86,145,93,1,2,1,0,59,3
LILE,LILESVILLE,1407,302,448,760,1007,5,3,10,0,368,4
GULL,GULLEDGE,640,158,240,357,443,0,3,8,0,218,9
POLK,POLKTON,484,219,236,449,270,0,3,7,0,205,5
BURN,BURNSVILLE,434,501,387,868,173,5,1,4,0,267,4
PEAC,PEACHLAND,400,429,414,825,115,1,2,8,0,283,9
ANS,ANSONVILLE,548,196,234,490,301,1,1,6,0,175,4
12,NORTH FORK,108,338,183,583,4,0,0,1,0,39,2
20,WEST JEFFERSON,710,1256,956,2644,19,5,6,22,0,217,9
11,NEW RIVER,449,787,646,1705,12,0,0,18,0,146,1
06,HELTON,100,214,170,449,0,1,0,0,0,32,2
09,JEFFERSON,857,1319,1058,2905,31,5,6,23,0,256,8
14,OLD FIELDS,531,1024,684,2005,7,3,1,12,0,203,8
13,0BIDS,221,523,363,1005,6,0,1,4,0,88,3
15,PEAK CREEK,166,410,272,769,3,1,1,4,0,68,2
04,ELK,108,195,169,435,2,0,0,2,0,33,0
17,PINEY CREEK,129,399,213,685,3,0,1,3,0,48,1
16,PINE SWAMP,407,928,636,1731,15,3,1,12,0,206,3
02,CLIFTON,242,606,367,1120,0,3,0,12,0,80,0
07,HORSE CREEK,92,152,102,318,0,0,1,0,0,27,0
03,CRESTON,63,265,111,416,1,0,0,0,0,22,0
10,LAUREL,42,122,66,211,0,1,0,4,0,14,0
18,POND MOUNTAIN,23,76,49,138,1,0,0,0,0,9,0
08,HURRICANE,49,75,77,181,0,0,1,1,0,18,0
16,PINEOLA,193,767,446,1249,2,2,1,14,0,137,1
02,BANNER ELK,423,1099,875,2023,27,5,13,24,0,299,6
