,PREC_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
48,007,2370,1809,2172,3886,1476,15,38,238,0,655,43
49,0070,646,947,857,2147,54,5,4,44,0,177,19
50,008,2596,1517,2166,3296,1446,457,41,145,1,852,41
51,009,3051,1543,2635,4510,1524,27,30,156,1,856,125
52,01,10168,13066,10136,23456,5257,1000,118,482,1,2935,121
53,01 BUR,1089,1150,1058,2922,58,5,7,21,0,272,12
54,01-01,920,282,932,1435,191,2,30,42,0,408,26
55,01-02,1564,1628,2010,3800,364,9,38,106,0,817,68
56,01-03,673,630,725,1822,17,4,5,21,0,148,11
57,01-04,2266,2094,2780,4363,1207,20,36,206,0,1046,262
58,01-05,431,407,390,1070,31,0,1,16,0,105,5
59,01-06,1292,541,1304,2403,112,1,36,57,0,486,42
60,01-07,1728,1628,2070,3963,396,10,42,132,0,737,146
61,01-07A,238,27,70,63,202,2,7,16,0,36,9
62,01-08,1732,1435,1903,2704,1209,19,35,176,0,857,70
63,01-09,568,220,468,1084,23,0,8,18,0,112,11
64,01-10,1443,1365,1708,3392,424,9,18,110,1,509,53
65,01-11,2068,2695,2631,5383,751,18,40,166,0,813,223
66,01-12,747,507,842,1686,103,0,17,46,0,217,27
67,01-13,865,169,674,1234,243,1,12,35,0,169,14
68,01-14,1997,422,1536,2898,447,2,35,81,0,456,36
69,01-15,899,728,909,1970,155,3,15,63,0,282,48
70,01-16,3431,961,1780,2862,2329,147,40,104,1,617,72
71,01-17,361,387,407,984,28,1,5,12,0,104,21
72,01-18,1229,618,1131,1885,543,0,25,113,0,384,28
73,01-19,1527,84,612,220,1553,7,24,56,0,354,9
74,01-20,1820,244,1233,1285,1292,7,41,70,0,549,53
75,01-21,2134,689,2068,2305,1305,10,67,225,0,865,114
76,01-22,3116,135,1218,315,3272,18,49,138,0,637,40
77,01-23,2018,756,3443,3141,700,19,145,176,0,1861,175
78,01-25,534,42,328,147,529,2,16,20,0,186,4
79,01-26,1782,115,1440,729,1721,4,43,64,0,752,24
80,01-27,1272,257,1113,1614,422,10,31,79,0,446,40
81,01-28,2862,448,1867,2044,2068,10,53,119,0,837,46
82,01-29,838,814,857,2207,60,4,9,21,1,191,16
83,01-30,460,401,480,1179,21,2,2,16,0,107,14
84,01-31,1973,391,2241,1921,1146,19,79,222,1,1091,126
85,01-32,1346,440,1350,1725,582,9,39,172,0,541,68
86,01-33,758,460,645,1540,45,2,7,34,0,212,23
87,01-34,1391,72,955,351,1387,3,41,40,0,590,6
88,01-35,1873,94,786,289,1907,7,22,72,0,441,15
89,01-36,912,998,1063,2352,126,6,23,59,0,364,43
90,01-37,704,567,723,1629,119,2,6,42,0,175,21
91,01-38,1204,376,899,1254,606,7,25,132,0,386,69
92,01-39,1279,547,1163,1735,634,6,35,105,0,441,33
93,01-40,3397,211,1398,460,3498,13,49,185,0,769,32
94,01-41,1119,301,1169,1522,339,3,33,74,0,566,52
